Time stamp,Power,avg_temp
1681683214,0,40.78
1681683215,0,40.78
1681683215,0,40.242
1681683215,0,40.78
1681683215,0,41.318
1681683215,4,41.318
1681683216,4,40.78
1681683216,4,40.78
1681683216,4,41.318
1681683216,4,40.78
1681683216,4.05,40.78
1681683217,4.05,40.78
1681683217,4.05,41.856
1681683217,4.05,41.856
1681683217,4.05,41.318
1681683217,3.977,40.78
1681683218,3.977,41.856
1681683218,3.977,41.856
1681683218,3.977,41.318
1681683218,3.977,41.318
1681683218,4.004,41.856
1681683219,4.004,41.318
1681683219,4.004,41.856
1681683219,4.004,41.856
1681683219,4.004,41.318
1681683219,4.015,41.318
1681683220,4.015,41.318
1681683220,4.015,41.318
1681683220,4.015,41.856
1681683220,4.015,41.856
1681683220,3.992,41.318
1681683221,3.992,41.856
1681683221,3.992,41.856
1681683221,3.992,41.856
1681683221,3.992,41.856
1681683221,3.977,42.394
1681683222,3.977,41.856
1681683222,3.977,41.856
1681683222,3.977,41.856
1681683222,3.977,41.856
1681683222,4.027,41.856
1681683223,4.027,41.856
1681683223,4.027,41.856
1681683223,4.027,41.856
1681683223,4.027,41.856
1681683223,3.981,41.856
1681683224,3.981,41.856
1681683224,3.981,41.856
1681683224,3.981,41.856
1681683224,3.981,42.932
1681683224,4.004,41.856
1681683225,4.004,41.856
1681683225,4.004,41.856
1681683225,4.004,41.856
1681683225,4.004,41.856
1681683225,4.008,41.856
1681683226,4.008,42.394
1681683226,4.008,41.856
1681683226,4.008,41.856
1681683226,4.008,41.856
1681683226,4.004,42.394
1681683227,4.004,41.856
1681683227,4.004,41.856
1681683227,4.004,42.394
1681683227,4.004,41.856
1681683227,4.031,41.856
1681683228,4.031,41.856
1681683228,4.031,41.856
1681683228,4.031,42.394
1681683228,4.031,41.856
1681683228,4.012,42.932
1681683229,4.012,41.856
1681683229,4.012,41.856
1681683229,4.012,41.856
1681683229,4.012,42.394
1681683229,4.004,42.394
1681683230,4.004,41.856
1681683230,4.004,42.394
1681683230,4.004,42.394
1681683230,4.004,41.856
1681683230,4.004,42.932
1681683231,4.054,41.856
1681683231,4.054,42.394
1681683231,4.054,41.856
1681683231,4.054,41.856
1681683231,3.996,42.394
1681683232,3.996,42.932
1681683232,3.996,42.932
1681683232,3.996,42.394
1681683232,3.996,42.932
1681683232,4.015,41.856
1681683233,4.015,42.394
1681683233,4.015,42.394
1681683233,4.015,42.394
1681683233,4.015,42.932
1681683233,4.038,42.394
1681683234,4.038,42.394
1681683234,4.038,42.394
1681683234,4.038,42.932
1681683234,4.038,42.394
1681683234,3.992,42.932
1681683235,3.992,42.932
1681683235,3.992,41.856
1681683235,3.992,41.856
1681683235,3.992,42.932
1681683235,4.004,41.856
1681683236,4.004,42.932
1681683236,4.004,42.394
1681683236,4.004,42.932
1681683236,4.004,42.394
1681683236,4.027,42.932
1681683237,4.027,42.932
1681683237,4.027,42.394
1681683237,4.027,42.394
1681683237,4.027,42.932
1681683237,4.046,41.856
1681683238,4.046,42.394
1681683238,4.046,42.394
1681683238,4.046,42.932
1681683238,4.046,42.932
1681683238,4.046,42.932
1681683239,4.012,42.394
1681683239,4.012,42.932
1681683239,4.012,41.856
1681683239,4.012,42.932
1681683239,4.012,42.394
1681683240,4.012,42.932
1681683240,4.012,41.856
1681683240,4.012,42.932
1681683240,4.012,42.932
1681683240,4.046,42.932
1681683241,4.046,42.932
1681683241,4.046,42.394
1681683241,4.046,42.932
1681683241,4.046,42.932
1681683241,4.019,41.856
1681683242,4.019,42.932
1681683242,4.019,41.856
1681683242,4.019,42.394
1681683242,4.019,42.394
1681683242,3.981,42.932
1681683243,3.981,42.932
1681683243,3.981,42.932
1681683243,3.981,42.932
1681683243,3.981,42.932
1681683243,4.027,42.932
1681683244,4.027,42.932
1681683244,4.027,42.932
1681683244,4.027,42.932
1681683244,4.027,42.932
1681683244,4.019,42.932
1681683245,4.019,42.932
1681683245,4.019,42.932
1681683245,4.019,42.932
1681683245,4.019,42.932
1681683245,4.004,42.394
1681683246,4.004,43.47
1681683246,4.004,42.932
1681683246,4.004,42.932
1681683246,4.004,42.932
1681683246,4.084,43.47
1681683247,4.084,42.932
1681683247,4.084,42.932
1681683247,4.084,42.932
1681683247,4.084,41.856
1681683247,4.084,42.932
1681683248,4.023,42.932
1681683248,4.023,42.932
1681683248,4.023,42.932
1681683248,4.023,42.932
1681683248,4.023,42.932
1681683249,4.023,43.47
1681683249,4.023,42.394
1681683249,4.023,42.932
1681683249,4.023,42.932
1681683249,4.023,42.932
1681683250,4.023,42.932
1681683250,4.031,42.932
1681683250,4.031,42.932
1681683250,4.031,42.932
1681683250,4.015,42.932
1681683251,4.015,43.47
1681683251,4.015,42.394
1681683251,4.015,42.932
