Time stamp,Power,avg_temp
1680466602.4206002, 0.0, 39.166
1680466602.620911, 4.195, 39.166
1680466602.8212485, 4.195, 38.628
1680466603.021578, 4.195, 39.704
1680466603.2219164, 4.195, 39.704
1680466603.4222486, 4.195, 39.166
1680466603.6225996, 3.996, 39.704
1680466603.822946, 3.996, 39.704
1680466604.0233288, 3.996, 39.704
1680466604.2237856, 3.996, 39.704
1680466604.4241374, 3.996, 39.166
1680466604.6247928, 4.027, 39.166
1680466604.8253717, 4.027, 39.704
1680466605.0257344, 4.027, 39.166
1680466605.2260911, 4.027, 39.704
1680466605.426523, 4.027, 39.704
1680466605.626879, 4.012, 39.704
1680466605.8272367, 4.012, 39.166
1680466606.0275846, 4.012, 40.242
1680466606.227923, 4.012, 39.166
1680466606.4282699, 4.012, 39.704
1680466606.6286168, 4.008, 39.704
1680466606.8289516, 4.008, 39.704
1680466607.0292966, 4.008, 39.704
1680466607.2296467, 4.008, 39.704
1680466607.4299903, 4.008, 39.704
1680466607.6303434, 4.004, 39.704
1680466607.8307257, 4.004, 39.704
1680466608.031088, 4.004, 39.704
1680466608.23143, 4.004, 39.704
1680466608.4318209, 4.004, 40.242
1680466608.6321611, 4.004, 39.704
1680466608.832512, 4.015, 40.242
1680466609.0329268, 4.015, 40.242
1680466609.2333393, 4.015, 40.78
1680466609.4336936, 4.015, 40.78
1680466609.6340477, 4.023, 40.78
1680466609.8344681, 4.023, 39.704
1680466610.034824, 4.023, 40.78
1680466610.2351604, 4.023, 39.704
1680466610.4354994, 4.023, 39.704
1680466610.635856, 4.019, 40.78
1680466610.8362985, 4.019, 39.704
1680466611.036699, 4.019, 40.78
1680466611.237071, 4.019, 39.704
1680466611.4374247, 4.019, 40.242
1680466611.6378574, 4.023, 40.78
1680466611.8383222, 4.023, 40.242
1680466612.0387225, 4.023, 40.78
1680466612.2392468, 4.023, 40.78
1680466612.439613, 4.023, 40.78
1680466612.6399562, 4.008, 40.78
1680466612.8403158, 4.008, 40.78
1680466613.0407746, 4.008, 40.78
1680466613.2411115, 4.008, 40.78
1680466613.4414623, 4.008, 40.78
1680466613.6419811, 4.008, 40.242
1680466613.8423247, 4.008, 40.242
1680466614.0429163, 4.008, 39.704
1680466614.2432532, 4.008, 40.242
1680466614.4436154, 4.008, 40.78
1680466614.6439745, 3.989, 39.704
1680466614.844307, 3.989, 40.78
1680466615.0446577, 3.989, 40.242
1680466615.2450209, 3.989, 40.242
1680466615.4453623, 3.989, 40.242
1680466615.64586, 4.004, 40.78
1680466615.8462696, 4.004, 40.78
1680466616.0466828, 4.004, 40.78
1680466616.247034, 4.004, 40.242
1680466616.4473746, 4.004, 40.78
1680466616.647768, 4.008, 40.78
1680466616.8482175, 4.008, 40.78
1680466617.0485616, 4.008, 40.78
1680466617.248905, 4.008, 40.78
1680466617.4492567, 4.008, 40.78
1680466617.649613, 3.996, 40.78
1680466617.849967, 3.996, 40.78
1680466618.0503068, 3.996, 40.78
1680466618.2508178, 3.996, 40.78
1680466618.451163, 3.996, 40.78
1680466618.6515083, 4.012, 40.78
1680466618.8518634, 4.012, 40.78
1680466619.0522032, 4.012, 40.78
1680466619.2525492, 4.012, 40.78
1680466619.452891, 4.012, 40.78
1680466619.6532845, 4.019, 40.78
1680466619.853617, 4.019, 40.78
1680466620.0539727, 4.019, 40.78
1680466620.2543237, 4.019, 40.78
1680466620.454793, 4.019, 40.78
1680466620.6552598, 4.0, 40.78
1680466620.855712, 4.0, 41.318
1680466621.056052, 4.0, 40.78
1680466621.2563894, 4.0, 41.318
1680466621.456734, 4.0, 40.78
1680466621.657075, 4.019, 40.78
1680466621.8574429, 4.019, 40.78
1680466622.0611444, 4.019, 40.78
1680466622.2615037, 4.019, 40.78
1680466622.4618602, 4.019, 40.78
1680466622.6622152, 4.019, 41.318
1680466622.8625548, 3.992, 40.78
1680466623.0629022, 3.992, 40.78
1680466623.2632632, 3.992, 41.318
1680466623.4636168, 3.992, 40.78
1680466623.663951, 4.015, 40.78
1680466623.8642955, 4.015, 40.78
1680466624.0646794, 4.015, 40.242
1680466624.2651377, 4.015, 40.78
1680466624.4655266, 4.015, 41.318
1680466624.6659167, 4.256, 41.318
1680466624.866293, 4.256, 40.78
1680466625.066937, 4.256, 41.318
1680466625.2672906, 4.256, 41.318
1680466625.4676206, 4.256, 41.318
1680466625.6679642, 4.286, 41.318
1680466625.8683264, 4.286, 41.318
1680466626.068691, 4.286, 41.318
1680466626.2693017, 4.286, 41.318
1680466626.469727, 4.286, 40.78
1680466626.6700835, 4.283, 41.318
1680466626.870445, 4.283, 40.78
1680466627.070769, 4.283, 41.318
1680466627.2710989, 4.283, 41.318
1680466627.4716814, 4.283, 41.856
1680466627.6720521, 4.279, 41.856
1680466627.872402, 4.279, 41.856
1680466628.0728354, 4.279, 41.856
1680466628.2732294, 4.279, 41.856
1680466628.4736087, 4.279, 41.856
1680466628.6739738, 4.279, 41.856
1680466628.8743231, 4.279, 40.78
1680466629.0747087, 4.279, 41.318
1680466629.275116, 4.279, 41.856
