Epoch,Train acc,Train loss,Test acc,Test loss
0,37.57,1.6773378925250315,48.07,1.4064659589453588
1,54.88,1.2520501703557456,56.26,1.2386223017414915
2,63.406,1.0244723221530085,59.97,1.1375788088086285
3,69.516,0.8624951546759252,66.3,0.9564322497271285
4,74.544,0.7257197131128872,65.73,1.053910541383526
5,77.878,0.6308356021218897,69.04,0.9339474975308285
6,81.316,0.533460092971392,67.8,0.9774336965778206
7,83.834,0.46584120236546794,71.05,0.889960839024073
8,86.04,0.4022068736879417,71.15,0.9202213325077975
9,88.012,0.3437834957142925,71.31,0.9547124965281426
10,89.698,0.2951457187571489,72.26,0.9476792985879923
11,91.114,0.2544150811898739,72.97,0.9636171384702755
12,92.178,0.22410549245336475,72.98,0.9993056089063234
13,93.008,0.20018008881060365,73.0,0.9859067707122127
14,93.954,0.17330515941085717,72.87,1.0600164200686202
15,94.608,0.15575913483719997,72.88,1.0438231003435352
16,94.722,0.1523980122926595,73.62,1.060784633401074
17,95.252,0.13800964522582795,72.86,1.183821902999395
18,95.344,0.13313972300199597,73.13,1.1247693926473208
19,95.814,0.1194738797400423,73.09,1.155157536645479
20,96.044,0.11463093208363447,74.0,1.167135485365421
21,96.372,0.10442748116543683,74.36,1.168652970579606
22,96.244,0.10838869287896796,73.58,1.1528007056139693
23,96.488,0.10305172347885264,74.33,1.203834597068497
24,96.602,0.09488068141348069,74.05,1.1850766871548906
25,96.994,0.08844258074584367,73.88,1.1998540321482887
26,97.038,0.08617416437229385,74.02,1.2080962137330937
27,97.014,0.08558804731663612,74.61,1.1825499293170398
28,97.246,0.07827898503645607,74.75,1.1915695493734335
29,97.27,0.0775120628799986,74.87,1.2066197682030593
30,97.368,0.0762744873852643,74.65,1.2135101179533367
31,97.536,0.07150482404691255,74.83,1.2600945822800262
32,97.528,0.07293207020691746,75.32,1.2047290952899787
33,97.612,0.0684595467174983,75.4,1.1754360938374
34,97.822,0.062328861371311536,75.24,1.2260782024528407
35,97.94,0.0615772881957195,74.61,1.2105430802212487
36,97.856,0.06140094825431057,74.44,1.2741116805921626
37,97.94,0.058760828207558985,75.56,1.2142247474646266
38,97.946,0.06063750236059356,75.98,1.1413085637967797
39,98.17,0.053309698336664824,75.38,1.2744116066377373
40,98.01,0.05880995817861193,75.8,1.2533295712893522
41,98.144,0.053768130259878956,75.45,1.237453522184227
42,98.066,0.05608062899035528,75.78,1.2553525129451026
43,98.326,0.04848988683801383,75.44,1.2128436248513716
44,98.254,0.051057894505165,76.54,1.1933737351924558
45,98.364,0.04768515985978343,76.36,1.2561897620370117
46,98.404,0.04737297386524108,76.07,1.2170022213006322
47,98.486,0.044561179243433086,76.07,1.2131230680248406
48,98.524,0.042508121045149116,75.67,1.3294682299034506
49,98.312,0.04794822618736864,76.23,1.250456560261642
50,98.528,0.04376439202357741,75.78,1.3114745745176002
51,98.35,0.04647156966092718,75.87,1.3060414579850208
52,98.756,0.03648998885659044,75.81,1.3438838841039924
53,98.566,0.041992885308921375,76.12,1.2711486265629153
54,98.726,0.03706509212140337,75.69,1.362223613865768
55,98.432,0.042730347142623894,76.42,1.2256334039229382
56,98.706,0.03694108660038694,76.01,1.2922452409056169
57,98.848,0.032263018382603634,75.4,1.3967969379847562
58,98.692,0.03905648577605824,76.45,1.274354905267305
59,98.764,0.034414036139903015,75.96,1.364622461644909
60,98.7,0.03768748202887566,76.1,1.313881618501265
61,98.788,0.035311270307492267,76.37,1.2841442668739753
62,98.78,0.03476975198812506,76.43,1.3216029813018026
63,98.846,0.033782954414701444,76.19,1.298181742806978
64,98.778,0.036032968255526876,76.36,1.3185530787781825
65,98.878,0.033577299362722586,76.87,1.2430555375316474
66,99.014,0.030392066233486528,76.67,1.289245548882062
67,98.924,0.03171113668881414,76.34,1.315822734108454
68,98.868,0.03285663253734903,76.24,1.3308635467215428
69,98.936,0.030972192746937237,76.91,1.2249107074133958
70,99.11,0.02615850599830413,76.9,1.2997635934926286
71,99.012,0.03001999059606277,76.84,1.2288943989367425
72,99.014,0.029785736763785542,77.33,1.253244149534008
73,99.042,0.029076961298619666,77.31,1.2728462505944167
74,99.074,0.02812611888510549,77.0,1.2315266569958458
75,99.154,0.025109164328064263,77.48,1.312905767295934
76,99.086,0.025461881892229227,77.13,1.327812663361996
77,98.916,0.032126946143134286,77.23,1.2543458372731753
78,99.044,0.027188265467505624,77.02,1.2736824418925032
79,99.07,0.02683696791197976,77.15,1.2511354963990706
80,99.136,0.02500376750728773,77.14,1.3053318126292168
81,99.124,0.025766136382570696,76.54,1.3337729497800899
82,99.044,0.0285949650502828,76.86,1.2916962557201144
83,99.23,0.023361879137113614,76.77,1.3637435496607913
84,99.282,0.021447862240770485,77.16,1.377466259877893
85,99.054,0.02786338948296345,77.54,1.311605416898486
86,99.158,0.025502638838342046,76.94,1.2810209204878988
87,99.244,0.02172279481902895,77.72,1.3747114297709888
88,99.31,0.019263565581215395,77.28,1.4595776675622674
89,99.136,0.026284548717335373,77.32,1.370867064482049
90,99.17,0.023382090544432303,76.91,1.363004160078266
91,99.266,0.02154834741158435,77.41,1.3171627657322944
92,99.406,0.018338695675541965,76.87,1.4493057275120216
93,99.274,0.021586772521732665,77.4,1.4021176152591464
94,99.216,0.022995010273509642,77.22,1.41917884349823
95,99.228,0.02193766306852624,77.55,1.349180415461335
96,99.322,0.01993424818381224,77.71,1.3209233329265933
97,99.338,0.020648400005533137,77.27,1.3176866807515109
98,99.342,0.020162784496097184,77.53,1.3687968940674504
99,99.266,0.021819956689987263,77.37,1.276619778403753
