Time stamp,Power,avg_temp
1680468740.2183177, 0.0, 41.856
1680468740.4187765, 0.0, 41.856
1680468740.619132, 0.0, 41.856
1680468740.8194764, 4.012, 41.856
1680468741.0198295, 4.012, 41.856
1680468741.2201822, 4.012, 42.394
1680468741.4205246, 4.012, 41.856
1680468741.6208792, 4.012, 41.856
1680468741.821251, 3.996, 41.856
1680468742.0215864, 3.996, 41.856
1680468742.2219274, 3.996, 42.394
1680468742.4223022, 3.996, 42.394
1680468742.6227221, 3.996, 42.394
1680468742.8230686, 4.027, 42.394
1680468743.0233984, 4.027, 42.394
1680468743.2237573, 4.027, 42.394
1680468743.4240997, 4.027, 41.856
1680468743.624488, 3.977, 42.394
1680468743.8248665, 3.977, 42.394
1680468744.0252397, 3.977, 42.394
1680468744.2256656, 3.977, 42.932
1680468744.4260561, 3.977, 42.394
1680468744.6264632, 3.996, 41.856
1680468744.8268023, 3.996, 41.856
1680468745.027158, 3.996, 42.394
1680468745.2275207, 3.996, 41.856
1680468745.4278574, 3.996, 42.394
1680468745.628205, 4.0, 42.932
1680468745.8285813, 4.0, 42.932
1680468746.0289168, 4.0, 42.932
1680468746.2294557, 4.0, 42.394
1680468746.4297984, 4.0, 42.932
1680468746.6301384, 3.985, 42.932
1680468746.8305075, 3.985, 42.394
1680468747.030852, 3.985, 42.394
1680468747.2311938, 3.985, 42.932
1680468747.4315372, 3.985, 42.932
1680468747.6318817, 3.973, 42.932
1680468747.8322275, 3.973, 42.932
1680468748.0325673, 3.973, 41.856
1680468748.2330537, 3.973, 42.932
1680468748.4334092, 3.973, 42.932
1680468748.633797, 3.985, 42.932
1680468748.8341415, 3.985, 42.932
1680468749.034476, 3.985, 42.932
1680468749.2348151, 3.985, 42.932
1680468749.435173, 3.985, 43.47
1680468749.635517, 4.0, 42.932
1680468749.8358653, 4.0, 42.932
1680468750.0364902, 4.0, 42.932
1680468750.2368586, 4.0, 42.932
1680468750.43721, 4.0, 42.932
1680468750.6375515, 4.008, 42.932
1680468750.8382387, 4.008, 42.932
1680468751.038607, 4.008, 42.932
1680468751.2389414, 4.008, 43.47
1680468751.439283, 4.008, 42.932
1680468751.6397452, 3.973, 42.932
1680468751.8401132, 3.973, 42.932
1680468752.040458, 3.973, 43.47
1680468752.240809, 3.973, 42.932
1680468752.4411457, 3.973, 42.932
1680468752.6414979, 4.004, 42.932
1680468752.841833, 4.004, 42.932
1680468753.0421832, 4.004, 42.932
1680468753.2425349, 4.004, 42.932
1680468753.4428716, 4.004, 43.47
1680468753.6432374, 4.012, 43.47
1680468753.8438544, 4.012, 42.932
1680468754.0441968, 4.012, 42.932
1680468754.244545, 4.012, 42.932
1680468754.4449058, 4.012, 42.932
1680468754.6452467, 4.012, 43.47
1680468754.8456492, 4.012, 43.47
1680468755.0460496, 4.012, 42.932
1680468755.246392, 4.012, 42.932
1680468755.446758, 4.012, 43.47
1680468755.6470892, 4.008, 42.932
1680468755.847426, 4.008, 42.932
1680468756.0481536, 4.008, 43.47
1680468756.248499, 4.008, 42.932
1680468756.4489024, 4.008, 42.932
1680468756.6492507, 3.981, 42.932
1680468756.8495936, 3.981, 42.932
1680468757.049951, 3.981, 43.47
1680468757.250282, 3.981, 43.47
1680468757.450789, 3.981, 42.932
1680468757.6511786, 3.989, 42.932
1680468757.8515153, 3.989, 43.47
1680468758.0518827, 3.989, 42.932
1680468758.2522235, 3.989, 43.47
1680468758.4525783, 3.989, 44.008
1680468758.6529305, 4.012, 42.932
1680468758.8533337, 4.012, 43.47
1680468759.0538437, 4.012, 43.47
1680468759.2542033, 4.012, 44.008
1680468759.4546027, 4.012, 44.008
1680468759.6549625, 4.271, 44.008
1680468759.8552957, 4.271, 44.008
1680468760.0556562, 4.271, 43.47
1680468760.2560072, 4.271, 44.008
1680468760.45634, 4.271, 43.47
1680468760.6566794, 4.271, 44.008
1680468760.8570573, 4.271, 44.008
1680468761.0574105, 4.271, 43.47
1680468761.2577515, 4.271, 44.008
1680468761.4581118, 4.271, 44.008
1680468761.6585922, 4.263, 44.008
1680468761.8589246, 4.263, 43.47
1680468762.059257, 4.263, 44.008
1680468762.259609, 4.263, 44.008
1680468762.4599543, 4.263, 44.008
1680468762.660355, 4.271, 44.008
1680468762.8607147, 4.271, 44.008
1680468763.0611074, 4.271, 44.008
1680468763.2614672, 4.271, 44.008
1680468763.461814, 4.271, 44.008
1680468763.6622133, 4.237, 43.47
1680468763.8625863, 4.237, 44.008
1680468764.0629265, 4.237, 44.546
1680468764.2632592, 4.237, 44.008
1680468764.4636052, 4.237, 44.008
1680468764.6639729, 4.263, 44.008
1680468764.8643544, 4.263, 44.008
1680468765.064704, 4.263, 44.546
1680468765.2650583, 4.263, 43.47
1680468765.4654386, 4.263, 44.008
1680468765.6657894, 4.275, 44.008
1680468765.8661497, 4.275, 44.008
1680468766.0665064, 4.275, 44.008
1680468766.266825, 4.275, 44.008
1680468766.467157, 4.275, 44.008
1680468766.667514, 4.283, 44.008
1680468766.8678498, 4.283, 44.008
1680468767.0681846, 4.283, 44.008
1680468767.2686028, 4.283, 44.008
1680468767.4689465, 4.283, 44.008
1680468767.6692977, 4.275, 44.546
1680468767.8697977, 4.275, 44.008
1680468768.070163, 4.275, 45.084
1680468768.2705164, 4.275, 44.008
1680468768.4707403, 4.275, 44.546
1680468768.671055, 4.275, 44.546
1680468768.8713822, 4.283, 44.008
1680468769.0719843, 4.283, 44.008
1680468769.2723181, 4.283, 44.546
1680468769.4728742, 4.283, 44.008
1680468769.6732364, 4.275, 44.546
1680468769.8735769, 4.275, 44.546
1680468770.073925, 4.275, 44.008
1680468770.2742898, 4.275, 44.546
1680468770.474684, 4.275, 44.546
1680468770.6750727, 4.271, 44.546
1680468770.8754072, 4.271, 44.546
1680468771.075746, 4.271, 44.008
1680468771.2760851, 4.271, 44.008
1680468771.476455, 4.271, 45.084
1680468771.6768184, 4.271, 44.008
1680468771.8771892, 4.267, 44.546
1680468772.0775485, 4.267, 44.008
1680468772.2779267, 4.267, 45.084
1680468772.4782743, 4.267, 44.546
1680468772.6786942, 4.275, 44.008
1680468772.8790562, 4.275, 44.546
1680468773.0794609, 4.275, 45.084
1680468773.2798045, 4.275, 44.546
1680468773.480176, 4.275, 45.084
1680468773.6806257, 4.263, 44.546
1680468773.8809645, 4.263, 44.546
1680468774.0813158, 4.263, 45.084
1680468774.281682, 4.263, 44.008
1680468774.482042, 4.263, 45.084
1680468774.6823776, 4.275, 44.008
1680468774.8827524, 4.275, 44.546
1680468775.0831153, 4.275, 44.546
1680468775.2834575, 4.275, 45.084
1680468775.4837916, 4.275, 45.084
1680468775.684138, 4.279, 45.084
1680468775.8844845, 4.279, 45.084
1680468776.0848255, 4.279, 45.084
1680468776.2851977, 4.279, 44.546
1680468776.4856296, 4.279, 45.084
1680468776.6859798, 4.283, 45.084
1680468776.886375, 4.283, 44.546
1680468777.0867865, 4.283, 45.084
1680468777.287117, 4.283, 45.084
1680468777.4874628, 4.283, 44.546
1680468777.6879032, 4.279, 45.084
1680468777.8883069, 4.279, 44.546
1680468778.0887344, 4.279, 45.084
1680468778.2890582, 4.279, 45.084
1680468778.4894352, 4.279, 45.084
1680468778.6897802, 4.286, 45.084
1680468778.8901272, 4.286, 45.084
1680468779.0904908, 4.286, 44.546
1680468779.290784, 4.286, 45.084
1680468779.4912062, 4.286, 45.084
1680468779.6915648, 4.283, 45.084
1680468779.8919697, 4.283, 45.084
1680468780.0923035, 4.283, 45.084
1680468780.292946, 4.283, 45.084
1680468780.4933374, 4.283, 45.084
1680468780.6936936, 4.298, 45.084
1680468780.8940809, 4.298, 45.084
1680468781.0946085, 4.298, 45.084
1680468781.2949433, 4.298, 45.084
1680468781.4953237, 4.298, 45.622
1680468781.6956851, 4.275, 45.084
1680468781.8960564, 4.275, 45.084
1680468782.096451, 4.275, 45.084
1680468782.296801, 4.275, 45.084
1680468782.4971619, 4.275, 45.084
1680468782.6976857, 4.279, 45.084
1680468782.8980582, 4.279, 45.084
1680468783.0984077, 4.279, 45.084
1680468783.29876, 4.279, 45.084
1680468783.4990864, 4.279, 44.546
1680468783.6994238, 4.275, 45.084
1680468783.8997655, 4.275, 45.084
1680468784.1001117, 4.275, 44.546
1680468784.3005173, 4.275, 45.084
