Time stamp,Power,avg_temp
1680920365.680016, 0.0, 40.78
1680920365.8805368, 4.363, 40.78
1680920366.0808775, 4.363, 40.78
1680920366.2813404, 4.363, 40.78
1680920366.4816852, 4.363, 40.78
1680920366.6820562, 4.363, 40.78
1680920366.8824177, 4.401, 40.78
1680920367.082793, 4.401, 40.78
1680920367.2831342, 4.401, 40.78
1680920367.483466, 4.401, 40.78
1680920367.6837997, 4.401, 41.318
1680920367.884156, 4.405, 41.318
1680920368.0845072, 4.405, 41.318
1680920368.2848918, 4.405, 40.78
1680920368.4852555, 4.405, 41.318
1680920368.685635, 4.405, 41.318
1680920368.886045, 4.405, 41.856
1680920369.0863817, 4.408, 41.856
1680920369.2867644, 4.408, 41.856
1680920369.4871213, 4.408, 41.856
1680920369.6874511, 4.408, 41.856
1680920369.887807, 4.42, 41.856
1680920370.0882673, 4.42, 41.856
1680920370.2886436, 4.42, 41.856
1680920370.4889963, 4.42, 41.856
1680920370.6893427, 4.42, 41.856
1680920370.8896935, 4.382, 41.856
1680920371.0900407, 4.382, 41.856
1680920371.2904482, 4.382, 41.856
1680920371.4907923, 4.382, 42.394
1680920371.691145, 4.382, 41.856
1680920371.891486, 4.416, 41.856
1680920372.091841, 4.416, 42.932
1680920372.2922206, 4.416, 41.856
1680920372.4925978, 4.416, 41.856
1680920372.6929944, 4.416, 41.856
1680920372.8933716, 4.401, 41.856
1680920373.09374, 4.401, 41.856
1680920373.2940662, 4.401, 41.856
1680920373.494487, 4.401, 42.394
1680920373.6947834, 4.401, 42.394
1680920373.8951092, 4.393, 42.932
1680920374.095473, 4.393, 42.932
1680920374.2958183, 4.393, 42.932
1680920374.496166, 4.393, 42.932
1680920374.6965654, 4.393, 42.932
1680920374.8969464, 4.386, 42.394
1680920375.0973146, 4.386, 42.932
1680920375.2977004, 4.386, 41.856
1680920375.4980214, 4.386, 41.856
1680920375.6984026, 4.386, 42.394
1680920375.8987565, 4.386, 42.394
1680920376.09912, 4.386, 41.856
1680920376.2994528, 4.386, 41.856
1680920376.4997895, 4.386, 42.932
1680920376.700157, 4.386, 42.932
1680920376.9005172, 4.397, 42.932
1680920377.1008537, 4.397, 41.856
1680920377.3012083, 4.397, 42.932
1680920377.501549, 4.397, 42.932
1680920377.701953, 4.397, 42.394
1680920377.9022949, 4.412, 42.932
1680920378.1029093, 4.412, 42.932
1680920378.3035135, 4.412, 42.932
1680920378.5038702, 4.412, 42.394
1680920378.7043586, 4.412, 42.932
1680920378.9047337, 4.386, 42.394
1680920379.105307, 4.386, 42.932
1680920379.3056495, 4.386, 43.47
1680920379.506055, 4.386, 42.932
1680920379.7064333, 4.386, 43.47
1680920379.9067647, 4.412, 42.932
1680920380.1071107, 4.412, 42.932
1680920380.3074577, 4.412, 42.932
1680920380.5077975, 4.412, 42.932
1680920380.7081923, 4.412, 42.932
1680920380.9085557, 4.401, 42.932
1680920381.108908, 4.401, 42.932
1680920381.3092933, 4.401, 42.932
1680920381.5098815, 4.401, 42.932
1680920381.7102306, 4.401, 42.932
1680920381.9108596, 4.405, 42.932
1680920382.1111925, 4.405, 42.932
1680920382.3117435, 4.405, 42.932
1680920382.512143, 4.405, 42.932
1680920382.712472, 4.405, 42.932
1680920382.9128473, 4.424, 42.932
1680920383.1132147, 4.424, 42.932
1680920383.3135836, 4.424, 42.932
1680920383.513966, 4.424, 43.47
1680920383.7143242, 4.424, 42.932
1680920383.9147837, 4.37, 42.932
1680920384.1151466, 4.37, 42.394
1680920384.3154836, 4.37, 42.932
1680920384.5158432, 4.37, 43.47
1680920384.7162883, 4.37, 42.932
1680920384.9167445, 4.42, 42.932
1680920385.1171086, 4.42, 42.932
1680920385.3175542, 4.42, 43.47
1680920385.5178998, 4.42, 42.932
1680920385.718269, 4.42, 42.932
1680920385.9190717, 4.481, 42.932
1680920386.1193962, 4.481, 42.932
1680920386.3197396, 4.481, 43.47
1680920386.5200841, 4.481, 43.47
1680920386.7205553, 4.481, 42.932
1680920386.920903, 4.397, 42.932
1680920387.1212642, 4.397, 42.932
1680920387.3217025, 4.397, 42.932
1680920387.5220833, 4.397, 43.47
1680920387.722442, 4.397, 43.47
1680920387.9227867, 4.42, 42.932
1680920388.1232076, 4.42, 42.932
1680920388.3236084, 4.42, 43.47
1680920388.5241644, 4.42, 42.932
1680920388.7245297, 4.42, 42.932
1680920388.9251153, 4.408, 43.47
1680920389.1256406, 4.408, 42.932
1680920389.325998, 4.408, 43.47
1680920389.5263436, 4.408, 43.47
1680920389.7273798, 4.408, 43.47
1680920389.9277642, 4.443, 43.47
1680920390.1281128, 4.443, 42.932
1680920390.328497, 4.443, 44.008
1680920390.5288439, 4.443, 43.47
1680920390.7291892, 4.443, 42.932
1680920390.9296277, 4.424, 43.47
1680920391.1299694, 4.424, 44.008
1680920391.3303587, 4.424, 43.47
1680920391.5309477, 4.424, 43.47
1680920391.731287, 4.424, 43.47
1680920391.9316387, 4.424, 44.008
1680920392.131992, 4.408, 43.47
1680920392.3323724, 4.408, 43.47
1680920392.532739, 4.408, 43.47
1680920392.733094, 4.408, 44.008
1680920392.9334762, 4.435, 43.47
1680920393.1338294, 4.435, 43.47
1680920393.334234, 4.435, 43.47
1680920393.534793, 4.435, 43.47
1680920393.7351344, 4.435, 44.008
1680920393.935519, 4.393, 43.47
