Time stamp,Power,avg_temp
1680919320.157789, 0.0, 39.704
1680919320.3580914, 0.0, 39.704
1680919320.558503, 0.0, 40.242
1680919320.75877, 0.0, 40.242
1680919320.9591017, 0.0, 39.704
1680919321.1594598, 4.321, 40.242
1680919321.3598056, 4.321, 40.78
1680919321.5601838, 4.321, 40.78
1680919321.760523, 4.321, 40.242
1680919321.960904, 4.031, 40.78
1680919322.1614432, 4.031, 40.78
1680919322.3617861, 4.031, 40.242
1680919322.5621266, 4.031, 39.704
1680919322.7624674, 4.031, 40.242
1680919322.9641688, 4.027, 40.78
1680919323.164507, 4.027, 40.78
1680919323.3648477, 4.027, 40.242
1680919323.5652115, 4.027, 40.78
1680919323.7658198, 4.027, 40.78
1680919323.966166, 4.019, 40.78
1680919324.1665065, 4.019, 40.78
1680919324.3688364, 4.019, 40.78
1680919324.569482, 4.019, 40.78
1680919324.7698224, 4.019, 40.78
1680919324.9702065, 4.038, 40.78
1680919325.170582, 4.038, 41.318
1680919325.3709164, 4.038, 40.78
1680919325.5712545, 4.038, 40.78
1680919325.7716494, 4.038, 40.78
1680919325.9722147, 3.981, 40.78
1680919326.1725636, 3.981, 40.78
1680919326.3729224, 3.981, 40.78
1680919326.573292, 3.981, 40.78
1680919326.7736733, 3.981, 40.78
1680919326.9740248, 3.981, 40.78
1680919327.174464, 4.015, 40.78
1680919327.3748164, 4.015, 40.78
1680919327.575166, 4.015, 40.78
1680919327.775539, 4.015, 40.78
1680919327.9758766, 4.046, 41.318
1680919328.1762178, 4.046, 40.78
1680919328.3765955, 4.046, 41.318
1680919328.5769618, 4.046, 41.318
1680919328.777308, 4.046, 40.78
1680919328.9776855, 4.0, 40.78
1680919329.1780381, 4.0, 40.78
1680919329.37854, 4.0, 41.318
1680919329.5788782, 4.0, 40.78
1680919329.7792404, 4.0, 40.78
1680919329.9795902, 4.057, 40.78
1680919330.179928, 4.057, 40.78
1680919330.3803136, 4.057, 41.318
1680919330.5806534, 4.057, 41.318
1680919330.781073, 4.057, 40.78
1680919330.9814303, 4.046, 41.318
1680919331.1818278, 4.046, 40.78
1680919331.382183, 4.046, 40.78
1680919331.5825927, 4.046, 41.318
1680919331.782941, 4.046, 40.78
1680919331.9832914, 4.015, 41.318
1680919332.1836414, 4.015, 40.78
1680919332.3839982, 4.015, 41.318
1680919332.5844007, 4.015, 41.318
1680919332.7847378, 4.015, 41.318
1680919332.985107, 4.004, 41.318
1680919333.1854625, 4.004, 41.318
1680919333.3858254, 4.004, 41.856
1680919333.5861857, 4.004, 41.856
1680919333.7865233, 4.004, 41.856
1680919333.9867773, 4.325, 41.856
1680919334.1871226, 4.325, 41.318
1680919334.3874507, 4.325, 41.856
1680919334.5878553, 4.325, 41.856
1680919334.7883675, 4.325, 41.856
1680919334.9886987, 4.283, 41.856
1680919335.1890707, 4.283, 41.856
1680919335.38947, 4.283, 41.856
1680919335.5898526, 4.283, 41.856
1680919335.7901971, 4.283, 41.856
1680919335.9905558, 4.359, 41.318
1680919336.1907878, 4.359, 41.856
1680919336.391134, 4.359, 41.856
1680919336.5915225, 4.359, 42.394
1680919336.791858, 4.359, 41.856
1680919336.9922075, 4.325, 41.856
1680919337.1925771, 4.325, 42.394
1680919337.3929143, 4.325, 41.856
1680919337.5933907, 4.325, 42.394
1680919337.7937443, 4.325, 41.856
1680919337.9941344, 4.321, 41.856
1680919338.1945128, 4.321, 41.856
1680919338.394824, 4.321, 41.856
1680919338.5957682, 4.321, 41.856
1680919338.7961369, 4.321, 42.394
1680919338.9964874, 4.347, 41.856
1680919339.196839, 4.347, 42.394
1680919339.397181, 4.347, 41.856
1680919339.5975258, 4.347, 42.394
1680919339.7981083, 4.347, 42.394
1680919339.9991016, 4.34, 42.394
1680919340.1994755, 4.34, 42.394
1680919340.400035, 4.34, 42.394
1680919340.600367, 4.34, 41.856
1680919340.8007054, 4.34, 42.394
1680919341.0010557, 4.328, 42.932
1680919341.201424, 4.328, 42.932
1680919341.401835, 4.328, 42.932
1680919341.6021893, 4.328, 42.932
1680919341.8025618, 4.328, 42.394
1680919342.0029857, 4.359, 42.394
1680919342.203308, 4.359, 41.856
1680919342.4036674, 4.359, 42.932
1680919342.6040592, 4.359, 42.394
1680919342.8045166, 4.359, 41.856
1680919343.0049038, 4.328, 42.932
1680919343.205264, 4.328, 42.394
1680919343.405636, 4.328, 42.932
1680919343.6060698, 4.328, 42.932
1680919343.806981, 4.328, 42.932
1680919344.0073273, 4.328, 42.932
1680919344.2076595, 4.328, 42.932
1680919344.4080586, 4.328, 42.932
1680919344.6083884, 4.328, 42.932
1680919344.8088005, 4.328, 42.932
1680919345.0092905, 4.328, 42.932
1680919345.2096329, 4.328, 42.932
1680919345.4099789, 4.328, 42.932
1680919345.6103914, 4.328, 42.394
1680919345.8107443, 4.328, 42.932
1680919346.0111196, 4.309, 42.932
1680919346.2115886, 4.309, 42.932
1680919346.4119136, 4.309, 42.932
1680919346.6122432, 4.309, 42.932
1680919346.8125892, 4.309, 42.932
1680919347.012992, 4.332, 41.856
1680919347.2134037, 4.332, 42.394
1680919347.4137409, 4.332, 42.932
1680919347.6140802, 4.332, 42.932
1680919347.8144195, 4.332, 42.932
1680919348.014742, 4.336, 41.856
1680919348.215122, 4.336, 42.932
1680919348.415534, 4.336, 42.932
1680919348.616049, 4.336, 42.932
1680919348.816383, 4.336, 42.932
1680919349.0168025, 4.336, 42.932
1680919349.2171402, 4.336, 43.47
1680919349.4175124, 4.336, 42.394
1680919349.61792, 4.336, 42.932
1680919349.818309, 4.336, 42.932
1680919350.0186841, 4.336, 42.932
1680919350.2190523, 4.332, 42.932
1680919350.4193923, 4.332, 42.932
1680919350.6198123, 4.332, 42.394
1680919350.8201926, 4.332, 42.932
1680919351.0205975, 4.305, 42.932
1680919351.2209425, 4.305, 42.932
1680919351.4213195, 4.305, 42.932
1680919351.6216683, 4.305, 42.932
1680919351.8220365, 4.305, 42.932
1680919352.0224228, 4.317, 42.932
1680919352.222771, 4.317, 42.932
1680919352.4230924, 4.317, 42.932
1680919352.6234329, 4.317, 42.932
